Title,Global,Hours_Viewed,Runtime,Views,Time_Period,averageRating,numVotes,genres,Is_Global,Popularity,Sufficient Votes,Genre: Romance,Genre: Comedy,Genre: Animation,Genre: Documentary,Genre: Sport,Genre: Horror,Genre: Fantasy,Genre: Sci-Fi,Genre: Drama,Genre: News,Genre: Action,Genre: Mystery,Genre: Family,Genre: Adventure,Genre: Biography,Genre: History,Genre: Music,Genre: Short,Genre: Game-Show,Genre: Talk-Show
Hit Man,No,59800000,116.0,30900000,2024 H1,5.5,26,Drama,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Garfield Movie,No,52000000,101.0,30900000,2024 H2,6.9,11,Comedy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land of Bad,No,57800000,114.0,30400000,2024 H2,6.6,55331,"Action,Thriller",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Burning Betrayal,Yes,49700000,99.0,30100000,2023 H2,8.3,7,"Crime,Documentary",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Shadow Strays,Yes,72300000,145.0,29900000,2024 H2,6.5,10296,"Action,Crime,Thriller",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sonic the Hedgehog 2,No,61800000,124.0,29900000,2023 H2,8.5,3385,"Action,Adventure,Family",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
We Can Be Heroes,Yes,50400000,101.0,29900000,2023 H2,7.8,8,"Action,Adventure,Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
The Equalizer 2,No,59800000,121.0,29700000,2025 H1,6.8,50,Talk-Show,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spaceman,Yes,54000000,109.0,29700000,2024 H1,7.3,1275,"Drama,Horror,Mystery",1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Justice,Yes,55800000,115.0,29100000,2024 H2,3.7,111,Drama,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kingsman: The Golden Circle,No,68600000,142.0,29000000,2024 H2,6.7,392829,"Action,Adventure,Comedy",0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Red Notice,Yes,56800000,118.0,28900000,2024 H2,7.4,18,Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How the Grinch Stole Christmas,No,49600000,104.0,28600000,2023 H2,6.4,316112,"Comedy,Family,Fantasy",0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ice Age: Dawn of the Dinosaurs,No,45200000,95.0,28500000,2024 H1,6.9,280064,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
They Cloned Tyrone,Yes,58800000,124.0,28500000,2023 H2,6.6,46269,"Comedy,Mystery,Sci-Fi",1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
The Black Book,Yes,58400000,124.0,28300000,2023 H2,3.3,247,Horror,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold Pursuit,No,54700000,118.0,27800000,2023 H2,6.2,83058,"Action,Comedy,Crime",0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
